p,q,r,output
PersonX practices all day,Improves their skiil,xEffect,1
PersonX cleans PersonY's bedroom,to clean other areas of the house,xWant,1
PersonX runs for class president,Isn't despised by hs enemies,xEffect,1
PersonX does not apply for jobs,don't have his own apartment.,xIntent,0
PersonX doesn't create the ___ in days,don't wrap up,xWant,1
PersonX applies for jobs,She gets a job as manager.,xEffect,1
PersonX does not run for class president,Don't see who wins,xWant,1
PersonX doesn't get the stain,not sloppy,xAttr,1
PersonX didn't make ___ the other day,don't buy ingredients,xNeed,1
PersonX did not cut swathes,not violent,xAttr,0
PersonX does not get everything PersonY needed,don't go shopping,xNeed,1
PersonX practices all day,Is inspired to practice more,oEffect,1
PersonX doesn't create the ___ in days,Don't name things,xWant,1
PersonX does not look PersonY's way,not Surprised to see x,oReact,0
PersonX creates the ___ in days,hurried,xReact,1
PersonX takes PersonY's outside,to spend time outside,xWant,1
PersonX gets everything PersonY needed,to rest,xWant,1
PersonX cuts swathes,gets exercise,xEffect,1
PersonX cuts swathes,to dispose of,xWant,1
PersonX does not go ___ after work,not good,xReact,1
PersonX holds PersonY's attention,to control him,xWant,1
PersonX does not reduce the ___ to levels,not breaking down,xAttr,0
PersonX creates the ___ in days,don't finish the work,xWant,0
PersonX does not run for class president,not political,xAttr,1
PersonX makes ___ the other day,Doesn't hear noise,xEffect,0
PersonX didn't learn how to bake a cake,not Accomplished,xReact,1
PersonX exchanges numbers,warm,xAttr,1
PersonX does not look PersonY's way,not wondering,xAttr,1
PersonX runs for class president,Make poster,xWant,1
PersonX didn't learn how to bake a cake,not satiated,oReact,1
PersonX does not run for class president,Don't apply to run,xNeed,1
PersonX does not clean PersonY's bedroom,not good.,xReact,0
PersonX reduces the ___ to levels,don't keep the levels low always,xWant,1
PersonX is not walking across the street,not content,xAttr,0
PersonX practices all day,to be the best,xIntent,1
PersonX cuts swathes,not happy,xReact,1
PersonX is walking across the street,gets a ticket for jwalking,xEffect,1
PersonX does not clean PersonY's bedroom,Doesn't get some windex,xEffect,1
PersonX is walking across the street,keeps walking,xEffect,1
PersonX doesn't take PersonY's outside,not playful,xAttr,1
PersonX does not get everything PersonY needed,not helpful and useful,xReact,1
PersonX learns how to bake a cake,to go to culinary school,xNeed,1
PersonX practices all day,learns something new,xEffect,1
PersonX helps another ___,accept assistance,oEffect,1
PersonX practices all day,impressive,xAttr,1
PersonX does not get everything PersonY needed,don't ask PersonY what is needed,xNeed,1
PersonX doesn't practice all day,Don't take part in the contest,xWant,1
PersonX goes ___ after work,to do something,xIntent,1
PersonX learns how to bake a cake,Doesn't gain life skill,xEffect,0
PersonX practices all day,not ready,xReact,1
PersonX doesn't practice all day,Isn't inspired to practice more,oEffect,1
PersonX helps another ___,assists,xEffect,1
PersonX finally got up,great,xAttr,0
PersonX helps another ___,get what they need.,oEffect,1
PersonX takes PersonY's outside,to play outside,xWant,1
PersonX doesn't hold PersonY's attention,Don't hold attention by saying or doing somethine,xNeed,1
PersonX takes PersonY's outside,Person Y doesn't accuse them of stealing.,xEffect,1
PersonX exchanges numbers,don't be social,xWant,0
PersonX doesn't create the ___ in days,not skillful,xAttr,1
PersonX reduces the ___ to levels,doesn't get elected,xEffect,1
PersonX does not clean PersonY's bedroom,don't make the bed,xNeed,1
PersonX doesn't smell something,don't know the real fact of things,xWant,0
PersonX creates the ___ in days,Body doesn't tremble,xEffect,1
PersonX is walking across the street,like there are closer to where they are going,xReact,1
PersonX does not go ___ after work,not tired,xReact,1
PersonX does not look PersonY's way,don't spot PersonY,xNeed,0
PersonX learns how to bake a cake,Sweet tooth,xAttr,1
PersonX does not clean PersonY's bedroom,don't be helpful.,xIntent,1
PersonX is not walking across the street,don't go into the gas station market,xWant,1
PersonX doesn't create the ___ in days,not dominant,xAttr,0
PersonX practices all day,Isn't inspired to practice more,oEffect,1
PersonX is not walking across the street,not neutral.,xReact,1
PersonX cleans PersonY's bedroom,doesn't get thanked,xEffect,0
PersonX does not reduce the ___ to levels,don't keep the levels low always,xWant,0
PersonX is walking across the street,Doesn't keep walking,xEffect,1
PersonX does not clean PersonY's bedroom,don't have a clean room,oWant,1
PersonX finally got up,lazy,xAttr,1
PersonX holds PersonY's attention,Don't learn something new,oEffect,1
PersonX looks PersonY's way,to turn his/her head,xNeed,1
PersonX creates the ___ in days,not hurried,xReact,1
PersonX does not run for class president,not hopeful,xAttr,0
PersonX cuts swathes,to keep safe,oWant,0
PersonX did not finally get up,don't go somwhere,xIntent,1
PersonX helps another ___,check the results,xWant,1
PersonX doesn't create the ___ in days,not hurried,xReact,1
PersonX holds PersonY's attention,interesting,xAttr,1
PersonX does not help another ___,Don't accept assistance,oEffect,0
PersonX does not get everything PersonY needed,don't get some rest,xWant,1
PersonX creates the ___ in days,not sleep,xWant,1
PersonX is walking across the street,to say hi to their friend,xWant,1
PersonX doesn't hold PersonY's attention,not influential,xAttr,1
PersonX does not clean PersonY's bedroom,Doesn't make the bed,xEffect,1
PersonX takes PersonY's outside,to relieve stress,xIntent,1
PersonX gets the stain,irresponsible,xAttr,1
PersonX finally got up,not obligated,xReact,1
PersonX cleans PersonY's bedroom,Doesn't feel indebted,oEffect,0
PersonX doesn't hold PersonY's attention,don't attract him,xWant,0
PersonX exchanges numbers,flirty,xAttr,1
PersonX finally got up,gets moving,xEffect,1
PersonX does not exchange numbers,not Informed,oReact,0
PersonX helps another ___,Don't get what they need.,oEffect,1
PersonX doesn't practice all day,Doesn't become an expert,xEffect,1
PersonX cuts swathes,Doesn't get exercise,xEffect,0
PersonX doesn't get the stain,don't fall,xNeed,1
PersonX cuts swathes,to show craftsmanship,xWant,1
PersonX creates the ___ in days,Don't take notes,xWant,1
PersonX practices all day,not astonished,oReact,1
PersonX goes ___ after work,to unwind,xIntent,1
PersonX doesn't practice all day,not impressive,xAttr,1
PersonX cleans PersonY's bedroom,to be nice,xIntent,1
PersonX did not cut swathes,not happy,xReact,0
PersonX goes ___ after work,adventurous,xAttr,1
PersonX didn't make ___ the other day,not assertive,xAttr,0
PersonX does not exchange numbers,not fair in skin,xEffect,0
PersonX cleans PersonY's bedroom,not happy,oReact,1
PersonX did not cut swathes,don't do damage,xWant,1
PersonX looks PersonY's way,appreciated,oReact,1
PersonX makes ___ the other day,active,xAttr,1
PersonX doesn't smell something,not intrigued,xReact,1
PersonX cleans PersonY's bedroom,Loyal,xAttr,1
PersonX exchanges numbers,don't store the phone number,xWant,0
PersonX smells something,have a nose,xNeed,1
PersonX does not help another ___,Don't offer thanks,oEffect,0
PersonX helps another ___,Runs over,xNeed,1
PersonX didn't learn how to bake a cake,She doesn't get the products.,xNeed,0
PersonX doesn't practice all day,don't get their ball,xNeed,1
PersonX does not exchange numbers,don't meet someone,xNeed,1
PersonX did not finally get up,Doesn't get moving,xEffect,1
PersonX practices all day,to go to the park,xNeed,1
PersonX holds PersonY's attention,not accomplished,xReact,0
PersonX is walking across the street,talented,xAttr,0
PersonX gets the stain,flawed,xAttr,1
PersonX runs for class president,hopeful,xAttr,1
PersonX is walking across the street,energetic,xAttr,1
PersonX learns how to bake a cake,get powdered sugar on themselves,xEffect,1
PersonX looks PersonY's way,realizes it is Person X,oEffect,1
PersonX helps another ___,to see how to help,xNeed,1
PersonX finally got up,didn't miss appointment,xEffect,1
PersonX reduces the ___ to levels,to teach everyone the benefit of low levels,xWant,1
PersonX makes ___ the other day,hears noise,xEffect,0
PersonX takes PersonY's outside,not excited,oReact,1
PersonX does not exchange numbers,not eager,xReact,1
PersonX applies for jobs,hopeless,xReact,1
PersonX cuts swathes,not satisfied,xReact,1
PersonX did not cut swathes,don't show craftsmanship,xWant,1
PersonX does not look PersonY's way,don't walk up to PersonY,xWant,1
PersonX cuts swathes,don't do damage,xWant,1
PersonX applies for jobs,gets rejected from a job,xEffect,1
PersonX practices all day,becomes an expert,xEffect,1
PersonX smells something,confused,xReact,1
PersonX is walking across the street,Don't return home,xWant,1
PersonX doesn't practice all day,Don't go to the play gound,xNeed,1
PersonX exchanges numbers,a phone number,xIntent,1
PersonX reduces the ___ to levels,don't protect the environment,xWant,0
PersonX does not clean PersonY's bedroom,not grateful.,oReact,1
PersonX cleans PersonY's bedroom,grateful,oReact,1
PersonX gets the stain,sloppy,xAttr,1
PersonX doesn't hold PersonY's attention,don't control him,xWant,0
PersonX makes ___ the other day,not happy,xReact,1
PersonX exchanges numbers,asks someone for a phone number,xNeed,1
PersonX makes ___ the other day,to wash dishes,xWant,0
PersonX doesn't practice all day,doesn't notice improvement in X,oEffect,1
PersonX doesn't smell something,not interested,xReact,1
PersonX helps another ___,learn new information.,oEffect,1
PersonX does not go ___ after work,Doesn't get tired,xEffect,1
PersonX doesn't get the stain,not messy,xAttr,1
PersonX practices all day,win the contest,xWant,1
PersonX does not reduce the ___ to levels,don't make arrangements for it,xNeed,1
PersonX exchanges numbers,don't get to know more about someone,xWant,0
PersonX practices all day,don't get better,xWant,0
PersonX does not apply for jobs,don't get a better life,xIntent,0
PersonX makes ___ the other day,to shout and yell,xWant,0
PersonX does not clean PersonY's bedroom,not caring,xAttr,0
PersonX makes ___ the other day,Tells him her favorite recipe.,oWant,1
PersonX applies for jobs,to make more money,xIntent,1
PersonX helps another ___,don't practice charity,xWant,1
PersonX does not look PersonY's way,don't look away,oWant,0
PersonX finally got up,satisfied,xReact,1
PersonX does not run for class president,doesn't sweat while speaking,xEffect,1
PersonX didn't learn how to bake a cake,Doesn't get warm when near oven,xEffect,0
PersonX is not walking across the street,don't say hi to their friend,xWant,0
PersonX does not get everything PersonY needed,not appreciated,xReact,1
PersonX helps another ___,grateful,oReact,1
PersonX does not reduce the ___ to levels,don't save the earth,xWant,0
PersonX exchanges numbers,not happy,oReact,1
PersonX does not reduce the ___ to levels,doesn't get elected,xEffect,1
PersonX is not walking across the street,Don't leave the house,xNeed,1
PersonX does not help another ___,To find out what isn't wrong,xNeed,1
PersonX does not clean PersonY's bedroom,Don't chill out,xWant,0
PersonX does not clean PersonY's bedroom,Don't put cleaning supplies away,xWant,0
PersonX is not walking across the street,Don't return home,xWant,0
PersonX helps another ___,smile.,xEffect,1
PersonX looks PersonY's way,to look away,xWant,1
PersonX does not exchange numbers,don't be social,xWant,1
PersonX runs for class president,not proud,oReact,1
PersonX runs for class president,doesn't cater to the public,xEffect,1
PersonX does not help another ___,Don't receive care,oWant,1
PersonX does not help another ___,don't ask if she is okay,xWant,1
PersonX doesn't hold PersonY's attention,Don't grab a hold of Person Y attention,xNeed,1
PersonX didn't learn how to bake a cake,not interested,xAttr,1
PersonX does not clean PersonY's bedroom,don't pick up cleaning supplies,xNeed,1
PersonX doesn't smell something,Don't have a nose,xNeed,0
PersonX does not reduce the ___ to levels,not diligent,xAttr,1
PersonX applies for jobs,She doesn't get a job as manager.,xEffect,1
PersonX helps another ___,not tired,xReact,1
PersonX does not run for class president,Isn't supported by his friends,xEffect,0
PersonX goes ___ after work,don't go back home,xWant,1
PersonX does not go ___ after work,not hard-working,xAttr,1
PersonX is walking across the street,return home,xWant,1
PersonX cleans PersonY's bedroom,hugs X,oEffect,1
PersonX does not help another ___,not friendly,xAttr,1
PersonX gets the stain,wash clothes,xWant,1
PersonX doesn't create the ___ in days,don't be consistent,xNeed,1
PersonX practices all day,exhausted,xReact,1
PersonX is not walking across the street,don't press the walk button,xNeed,1
PersonX smells something,not curious,xReact,1
PersonX does not reduce the ___ to levels,not competent,xAttr,1
PersonX creates the ___ in days,relax,xWant,1
PersonX cuts swathes,don't gain power,xWant,0
PersonX does not look PersonY's way,Doesn't notice Person X,oEffect,1
PersonX is walking across the street,don't say hi to their friend,xWant,1
PersonX doesn't take PersonY's outside,don't spend time outside,xWant,1
PersonX finally got up,goes walking,xEffect,1
PersonX reduces the ___ to levels,breaking down,xAttr,0
PersonX holds PersonY's attention,not Captivated,oReact,0
PersonX reduces the ___ to levels,not happy about his success,xReact,1
PersonX does not get everything PersonY needed,don't be thoughtful,xIntent,0
PersonX did not finally get up,not great,xAttr,0
PersonX practices all day,astonished,oReact,1
PersonX cuts swathes,to do damage,xWant,1
PersonX gets everything PersonY needed,to get some rest,xWant,1
PersonX does not look PersonY's way,not satisfied,xReact,0
PersonX does not clean PersonY's bedroom,not industrious,xAttr,0
PersonX applies for jobs,don't obtain employment,xWant,0
PersonX gets everything PersonY needed,to give things to PersonY,xWant,1
PersonX gets the stain,washing clothes,xEffect,1
PersonX looks PersonY's way,happy,xReact,1
PersonX helps another ___,unselfish,xAttr,1
PersonX cleans PersonY's bedroom,to practice being a maid,xIntent,1
PersonX cleans PersonY's bedroom,not thankful,oReact,1
PersonX makes ___ the other day,to buy ingredients,xNeed,1
PersonX applies for jobs,not encouraged.,xReact,0
PersonX is walking across the street,content,xAttr,0
PersonX does not get everything PersonY needed,don't help persony,xIntent,0
PersonX does not clean PersonY's bedroom,not happy,oReact,1
PersonX cleans PersonY's bedroom,doesn't thank X,oEffect,1
PersonX reduces the ___ to levels,to have studied the different levels,xNeed,1
PersonX doesn't practice all day,not constant,xAttr,1
PersonX takes PersonY's outside,happy,oReact,1
PersonX does not exchange numbers,don't store the phone number,xWant,1
PersonX cuts swathes,Doesn't get sweaty,xEffect,1
PersonX holds PersonY's attention,to get feedback.,xWant,1
PersonX holds PersonY's attention,captivated,oReact,1
PersonX creates the ___ in days,talented,xAttr,1
PersonX does not exchange numbers,Doesn't exchange a phone number,xNeed,1
PersonX does not look PersonY's way,don't greet PersonX,oWant,1
PersonX looks PersonY's way,don't walk up to PersonY,xWant,1
PersonX doesn't smell something,not inquisitive,xAttr,1
PersonX finally got up,to go somwhere,xIntent,1
PersonX looks PersonY's way,Aroused,xAttr,1
PersonX exchanges numbers,to meet someone,xNeed,1
PersonX applies for jobs,to get a resume ready.,xNeed,1
PersonX holds PersonY's attention,to help him,oWant,1
PersonX didn't learn how to bake a cake,don't heat the oven,xWant,0
PersonX looks PersonY's way,to look for PersonY,xNeed,1
PersonX cleans PersonY's bedroom,Don't put cleaning supplies away,xWant,0
PersonX does not clean PersonY's bedroom,not grateful,oReact,1
PersonX cuts swathes,to make something,xWant,1
PersonX holds PersonY's attention,intuitive,xAttr,1
PersonX doesn't smell something,not curious,xReact,1
PersonX goes ___ after work,to have a job,xNeed,1
PersonX gets everything PersonY needed,to be helpful,xIntent,1
PersonX does not apply for jobs,not hopeful,xAttr,1
PersonX gets everything PersonY needed,don't inform personY,xWant,0
PersonX does not look PersonY's way,don't be able to catch person's attention,xIntent,1
PersonX helps another ___,not helpful,xReact,0
PersonX does not go ___ after work,don't have a job,xNeed,0
PersonX takes PersonY's outside,gets fresh air,oEffect,1
PersonX is not walking across the street,not energetic,xAttr,0
PersonX does not help another ___,Doesn't give time.,xEffect,1
PersonX cleans PersonY's bedroom,Doesn't look for their items,oEffect,1
PersonX doesn't take PersonY's outside,Doesn't get fresh air,oEffect,1
PersonX practices all day,Doesn't have tired hands,xEffect,1
PersonX doesn't smell something,doesn't light a candle,xEffect,1
PersonX didn't make ___ the other day,don't have something for themselves,xIntent,0
PersonX takes PersonY's outside,Doesn't create privacy,xEffect,0
PersonX looks PersonY's way,not Surprised to see x,oReact,1
PersonX did not cut swathes,not grateful,oReact,1
PersonX does not exchange numbers,Doesn't ask someone for a phone number,xNeed,1
PersonX looks PersonY's way,to greet PersonY,xWant,1
PersonX didn't make ___ the other day,don't wash dishes,xWant,1
PersonX finally got up,bored,xAttr,1
PersonX reduces the ___ to levels,don't improve further,xWant,1
PersonX does not get everything PersonY needed,not generous,xAttr,1
PersonX does not look PersonY's way,don't notice PersonY,xNeed,0
PersonX does not go ___ after work,don't get a cab,xNeed,1
PersonX didn't make ___ the other day,don't shout and yell,xWant,0
PersonX gets everything PersonY needed,to help persony,xIntent,1
PersonX does not clean PersonY's bedroom,don't practice being a maid,xIntent,1
PersonX cleans PersonY's bedroom,rearranges their room,oEffect,1
PersonX helps another ___,not happy,oReact,1
PersonX does not clean PersonY's bedroom,doesn't thank X,oEffect,1
PersonX reduces the ___ to levels,Doesn't become resentful,oEffect,1
PersonX doesn't smell something,not curious,xAttr,1
PersonX helps another ___,Don't offer thanks,oEffect,0
PersonX does not look PersonY's way,not seeing,xAttr,1
PersonX looks PersonY's way,to say hello,xWant,1
PersonX reduces the ___ to levels,competent,xAttr,1
PersonX didn't make ___ the other day,not creative,xReact,0
PersonX does not apply for jobs,don't make more money,xIntent,0
PersonX goes ___ after work,not relaxed,xReact,1
PersonX didn't learn how to bake a cake,don't advertise their new found hobby on social media,xWant,0
PersonX goes ___ after work,becomes nervous,oEffect,0
PersonX practices all day,don't win the competition,xWant,0
PersonX is not walking across the street,Doesn't get a ticket for jwalking,xEffect,0
PersonX didn't make ___ the other day,don't sell the table they made,xWant,0
PersonX takes PersonY's outside,to pick up something,xNeed,1
PersonX cleans PersonY's bedroom,helpful,xReact,1
PersonX does not look PersonY's way,don't turn his/her head,xNeed,0
PersonX gets everything PersonY needed,to thank PersonY,oWant,0
PersonX didn't learn how to bake a cake,don't go to culinary school,xNeed,1
PersonX doesn't smell something,not confused,xReact,1
PersonX makes ___ the other day,Don't give her the ingredients.,xWant,1
PersonX looks PersonY's way,Realizes it isn't Person X,oEffect,1
PersonX gets the stain,don't clean up the stain,xWant,0
PersonX runs for class president,not excited,xReact,1
PersonX doesn't take PersonY's outside,don't play outside,xWant,1
PersonX gets everything PersonY needed,taken care of,oReact,1
PersonX smells something,to thank PersonX for turning off the oven.,oWant,1
PersonX goes ___ after work,enthusiastic,xAttr,1
PersonX does not apply for jobs,not encouraged.,xReact,1
PersonX gets everything PersonY needed,not taken care of,oReact,0
PersonX runs for class president,is despised by hs enemies,xEffect,1
PersonX does not go ___ after work,Doesn't become nervous,oEffect,1
PersonX does not get everything PersonY needed,don't know exactly what he needs,xNeed,1
PersonX practices all day,not prepared,xReact,0
PersonX did not cut swathes,don't have clean backyard,xIntent,1
PersonX didn't make ___ the other day,Doesn't become his friend.,oWant,1
PersonX cleans PersonY's bedroom,gets thanked,xEffect,1
PersonX runs for class president,lobbying,xAttr,1
PersonX doesn't take PersonY's outside,Isn't afforded privacy,oEffect,1
PersonX takes PersonY's outside,refreshed,oReact,1
PersonX cleans PersonY's bedroom,feels indebted,oEffect,1
PersonX does not run for class president,not excited,xReact,0
PersonX does not get everything PersonY needed,don't talk to personY,xNeed,1
PersonX does not go ___ after work,Like it isn't a good way to relax,xReact,1
PersonX didn't learn how to bake a cake,don't spend the day with their mother,xNeed,1
PersonX smells something,to decide conclude,xWant,0
PersonX doesn't take PersonY's outside,not energetic,xAttr,0
PersonX finally got up,Doesn't get moving,xEffect,0
PersonX holds PersonY's attention,attentive,oReact,1
PersonX runs for class president,Don't see who wins,xWant,0
PersonX runs for class president,to make a difference in their classroom,xIntent,1
PersonX doesn't smell something,Nose sensor doesn't work,xEffect,1
PersonX doesn't create the ___ in days,don't work with dedication,xNeed,1
PersonX runs for class president,sweats while speaking,xEffect,1
PersonX smells something,Doesn't use deodorant,xEffect,1
PersonX did not cut swathes,not creative,xAttr,0
PersonX doesn't take PersonY's outside,don't tell PersonX they don't like being outside,oWant,1
PersonX does not clean PersonY's bedroom,Don't take a nap,oWant,1
PersonX looks PersonY's way,to be able to catch person's attention,xIntent,1
PersonX takes PersonY's outside,Person Y accuses them of stealing.,xEffect,1
PersonX does not exchange numbers,don't call PersonX,oWant,1
PersonX cleans PersonY's bedroom,nice,xAttr,1
PersonX doesn't take PersonY's outside,don't relieve stress,xIntent,0
PersonX doesn't create the ___ in days,Body doesn't tremble,xEffect,1
PersonX didn't learn how to bake a cake,don't look up a recipe,xNeed,1
PersonX does not exchange numbers,not curious,xAttr,1
PersonX holds PersonY's attention,amused,oReact,1
PersonX is not walking across the street,PersonX doesn't obey the traffic signals,xEffect,0
PersonX takes PersonY's outside,not concerned,xReact,1
PersonX didn't make ___ the other day,don't wear what they made,xWant,0
PersonX didn't make ___ the other day,don't eat,xWant,1
PersonX takes PersonY's outside,Doesn't get fresh air,xEffect,0
PersonX applies for jobs,graduate,xAttr,1
PersonX helps another ___,Call 911,xWant,1
PersonX smells something,don't decide conclude,xWant,0
PersonX goes ___ after work,doesn't get complimented on looks,xEffect,1
PersonX holds PersonY's attention,interested,oReact,1
PersonX creates the ___ in days,skillful,xAttr,1
PersonX looks PersonY's way,Doesn't notice Person X,oEffect,1
PersonX reduces the ___ to levels,is touted as an example,xEffect,1
PersonX runs for class president,Voters allow PersonX to be elected,oEffect,1
PersonX helps another ___,gives time.,xEffect,1
PersonX doesn't create the ___ in days,effect,xEffect,1
PersonX does not apply for jobs,don't buy a car,xWant,1
PersonX didn't make ___ the other day,Don't tell her how to make it.,xWant,0
PersonX does not get everything PersonY needed,PersonX isn't considerate,xEffect,1
PersonX takes PersonY's outside,to be at PersonY's,xNeed,1
PersonX doesn't hold PersonY's attention,not intuitive,xAttr,1
PersonX takes PersonY's outside,to mow the yard,xWant,1
PersonX gets the stain,careless,xAttr,1
PersonX doesn't get the stain,don't trip,xNeed,1
